id;created_at;actor_id;actor_type;event_type;event_category;resource_type;resource_id;severity;ip_address;user_agent;metadata;before_data;after_data
d437805a-6f87-4ef4-a6aa-c9cd57f3ed92;2026-03-01 12:15:16.402081+00;5d3284cb-fe10-46b1-bc9a-16b3b3fd228d;user;TOURNAMENT_CREATED;tournament;tournament;2a6037da-381a-483d-bab0-da9f04c18afd;info;;;"{""name"":""MLP Bidv"",""type"":""team_match""}";;
f7d62ed9-7250-4475-84ae-2b6da1d1e50a;2026-03-02 02:08:16.407305+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;user;TOURNAMENT_CREATED;tournament;tournament;a8a49203-95b6-4c90-a1fa-de06547ce903;info;;;"{""name"":""BIDV MLP 2026"",""type"":""team_match""}";;
2d05c0a7-98b1-484e-a1a8-0abf1cd2f259;2026-03-02 02:10:12.487701+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;user;TOURNAMENT_CREATED;tournament;tournament;da0816b9-5c80-47af-a06c-3fff6f2c40dd;info;;;"{""format"":""round_robin"",""name"":""BIDV-Hitachi"",""type"":""quick_table""}";;
ebf77e20-08e8-421a-933d-365154071581;2026-03-02 02:12:19.613748+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;user;MATCH_SCORE_UPDATED;match;match;0f3aeaed-5cc4-49be-b307-b07a34b42ccd;warning;;;"{""match_type"":""quick_table"",""table_id"":""da0816b9-5c80-47af-a06c-3fff6f2c40dd""}";"{""score1"":null,""score2"":null,""status"":""pending"",""winner_id"":null}";"{""score1"":0,""score2"":1,""status"":""pending"",""winner_id"":null}"
d51eb413-1dcc-4415-9b95-8330d8dd6b5a;2026-03-02 02:12:20.245097+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;user;MATCH_SCORE_UPDATED;match;match;0f3aeaed-5cc4-49be-b307-b07a34b42ccd;warning;;;"{""match_type"":""quick_table"",""table_id"":""da0816b9-5c80-47af-a06c-3fff6f2c40dd""}";"{""score1"":0,""score2"":1,""status"":""pending"",""winner_id"":null}";"{""score1"":0,""score2"":2,""status"":""pending"",""winner_id"":null}"
3ab0ad67-e7be-40e7-9ada-1ccc6bc4661c;2026-03-02 02:12:21.091151+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;user;MATCH_SCORE_UPDATED;match;match;0f3aeaed-5cc4-49be-b307-b07a34b42ccd;warning;;;"{""match_type"":""quick_table"",""table_id"":""da0816b9-5c80-47af-a06c-3fff6f2c40dd""}";"{""score1"":0,""score2"":2,""status"":""pending"",""winner_id"":null}";"{""score1"":0,""score2"":3,""status"":""pending"",""winner_id"":null}"
d6564445-da0b-4ac1-9b3d-905cb1d46f9b;2026-03-02 02:12:21.942386+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;user;MATCH_SCORE_UPDATED;match;match;0f3aeaed-5cc4-49be-b307-b07a34b42ccd;warning;;;"{""match_type"":""quick_table"",""table_id"":""da0816b9-5c80-47af-a06c-3fff6f2c40dd""}";"{""score1"":0,""score2"":3,""status"":""pending"",""winner_id"":null}";"{""score1"":0,""score2"":4,""status"":""pending"",""winner_id"":null}"
1b256c64-40e3-45d2-be3c-124a5bc42cfb;2026-03-02 02:12:22.83344+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;user;MATCH_SCORE_UPDATED;match;match;0f3aeaed-5cc4-49be-b307-b07a34b42ccd;warning;;;"{""match_type"":""quick_table"",""table_id"":""da0816b9-5c80-47af-a06c-3fff6f2c40dd""}";"{""score1"":0,""score2"":4,""status"":""pending"",""winner_id"":null}";"{""score1"":1,""score2"":4,""status"":""pending"",""winner_id"":null}"
c493981f-30b6-4291-a446-0be4651a9ff3;2026-03-02 02:12:23.640518+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;user;MATCH_SCORE_UPDATED;match;match;0f3aeaed-5cc4-49be-b307-b07a34b42ccd;warning;;;"{""match_type"":""quick_table"",""table_id"":""da0816b9-5c80-47af-a06c-3fff6f2c40dd""}";"{""score1"":1,""score2"":4,""status"":""pending"",""winner_id"":null}";"{""score1"":2,""score2"":4,""status"":""pending"",""winner_id"":null}"
3f57a786-2218-4ad4-b2a9-3df96d154cd1;2026-03-02 02:12:24.444435+00;25edff60-3251-4ab3-b73f-4f9da12c5f6d;user;MATCH_SCORE_UPDATED;match;match;0f3aeaed-5cc4-49be-b307-b07a34b42ccd;warning;;;"{""match_type"":""quick_table"",""table_id"":""da0816b9-5c80-47af-a06c-3fff6f2c40dd""}";"{""score1"":2,""score2"":4,""status"":""pending"",""winner_id"":null}";"{""score1"":2,""score2"":5,""status"":""pending"",""winner_id"":null}"
