id;user_id;target_type;target_id;content;created_at
ae4317ef-5e8e-42ff-9445-8f17a6d4e5f0;1a367a03-c488-40e3-9fd1-e3fa0997471f;livestream;923432b7-f97f-441d-8e6e-77774e05e0d5;Tardio 11-8;2026-01-13 17:19:11.430885+00
0a3fc231-8bf4-4969-aada-c895ea4a1d4b;722fa3b0-1385-42b7-aadb-2eb7537012ff;livestream;9439d561-5857-4b94-8304-7d787c5502c3;Heluuu e;2026-01-29 15:09:21.072895+00
2624ad78-d239-468b-8540-cc006b5cabdc;722fa3b0-1385-42b7-aadb-2eb7537012ff;livestream;e5c61e50-d121-4560-9c0a-6d978861d613;Hi;2026-02-12 15:33:42.216225+00
bbecc29d-5843-4b39-925f-98cbd9b77694;584a1fdb-9010-47b3-a6d1-cf0648f69dac;livestream;44e75b8e-afe0-4a00-a85a-ecea8ee87af5;Add đâu roài ạ;2026-02-13 16:47:57.051334+00
65c7f258-3ac3-4e1f-80bf-f4bd8a2e2696;7111a62f-7e0d-435a-8df0-546e01135a2e;livestream;886f6401-8496-42f8-b2a5-82cce2b08540;Hello!;2026-02-14 18:32:12.751203+00
448412c3-b340-4e2e-9eab-9ef60b7f5b42;7b40330a-97c5-42cf-92f6-03446829f1c6;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Mấy giờ chung kết Cường ơi?;2026-02-15 14:30:54.425535+00
9bf25742-6ba0-4c9a-939e-88e15c3e6d5e;e43afb0c-3239-48e7-852c-1ad509306df9;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Vẫn bị mờ Anh ơi;2026-02-15 14:44:34.342128+00
13970d7d-d085-416c-9612-fe2e6f707074;1c9a9d57-da9f-4884-a239-c0d8798e61e8;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Đổi ngôi đi xem cho thú vị;2026-02-15 14:48:43.407633+00
e14afdce-ae47-440f-aa28-cdf1e199b9c9;3580d99f-31c4-47d0-a526-94c524cc7504;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Vâng ạ e Lâm Facolos Lào Cai kaka;2026-02-15 14:52:43.054675+00
2e1dfcd5-4537-47bf-85af-06c5b96edb68;3580d99f-31c4-47d0-a526-94c524cc7504;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Nào lên Lao Cai chơi ới em;2026-02-15 14:53:02.089556+00
89cf2728-0136-4e76-a88d-84060d4f01c9;3580d99f-31c4-47d0-a526-94c524cc7504;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Chung Kết đôi nam luôn à a;2026-02-15 14:54:29.588501+00
f6f55549-e533-4bed-a0fe-1e801b13d553;3b60e5af-a89f-48a1-ae2e-6589e4ba67df;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Fcl hãng mỹ chứ ko phải Viẹt phải ko anh;2026-02-15 15:15:36.409792+00
17e10522-a4ff-40f2-852d-f4135298fd85;9a3aa805-dcec-4e60-9871-d9fac7bcb5f2;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Web mới xin xò thế a nhẩy;2026-02-15 15:31:20.198361+00
17df407c-a5f5-48cf-8fdc-7744278179cf;68b8ac25-c1d5-44a0-b81b-9bc5c2038543;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Đại ca đang dùng vợt j đấy;2026-02-15 15:35:07.899422+00
12401eea-d044-407f-a35e-ec9610ccffcb;8bcbfeb6-0719-4b03-bfc1-8932b12e8ad8;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Ben đánh khét quá;2026-02-15 15:40:16.829263+00
4bc7721c-a746-423f-8032-0a11f7b198cc;02c49ebe-b1f7-48ad-add3-a58af150aa65;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Cây adidas kile đánh chắc ok anh nhỉ;2026-02-15 15:41:01.0391+00
4adf74e8-c8a9-4b6c-ad44-f6b068cdd476;02c49ebe-b1f7-48ad-add3-a58af150aa65;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Cây adidas klinger đánh chắc ngon anh nhỉ;2026-02-15 15:42:57.390596+00
8addcf14-28de-4247-99d1-9f18f92dc29d;d072324c-0d0c-4bae-b0e1-afb4384c46c9;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Pp Hn làm cung điền kinh;2026-02-15 15:46:57.308461+00
05bfe303-2d48-46b1-900b-1801096290f1;78bb200f-a5b0-4f2f-9c51-5eb6cf94a5b5;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Em sắp làm minigame. A cho em xài chùa đc khum;2026-02-15 15:52:47.35647+00
276a71c3-2db9-477a-af7a-afda066511a2;d7ed6331-7a9a-469f-ada2-6ab135a3e5d7;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;ai vô địch thế;2026-02-15 16:41:18.822694+00
7bef6de5-5534-4796-8438-2a9d69eae8d2;f11f4da2-0121-490b-ba74-e3af844275b8;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;Co xem đc trên tv ko ad;2026-02-15 17:37:13.627481+00
5dd9e2e4-aa63-4daa-af96-010338f57fb6;c6f3534e-c68a-4ce8-be3e-9052bc1a8700;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;hết rồi à ad;2026-02-15 18:58:10.126824+00
a29deb55-eb5e-474a-bb15-b9fef57fd06c;8b08bd37-097d-479f-ab23-3c33da11d6cf;livestream;2cac01eb-217a-4634-95fa-4f915773bce2;Nay mấy trận hay đôi nam có đánh trc ko anh;2026-02-20 15:30:59.747233+00
eaca2543-76a6-41f4-90a5-be3fb2751363;063271d1-0e7b-42d9-9c99-15875fb0ba6e;livestream;2cac01eb-217a-4634-95fa-4f915773bce2;lát xem ben john ở đâu thế ạ;2026-02-20 17:13:08.751604+00
4921952d-76de-4684-ac8f-b6f9a622fe89;8d7700c5-5c86-4807-a803-ee7e59ea7e92;livestream;2cac01eb-217a-4634-95fa-4f915773bce2;Đánh hay mà mỗi tội béo qá k chạy đc;2026-02-20 17:18:15.947277+00
e180fab6-d94c-480f-8dd3-c596aed0f183;af6086de-92e1-4662-b773-2a3d3b7c7845;livestream;2cac01eb-217a-4634-95fa-4f915773bce2;alson hay mặc áo đỏ nhỉ;2026-02-20 17:18:39.789381+00
