id;tournament_id;group_id;name;match_type;slot_a1_player_id;slot_a2_player_id;slot_b1_player_id;slot_b2_player_id;slot_a_team_id;slot_b_team_id;score_a;score_b;winner_side;display_order;created_at;updated_at;counts_for_standings;parent_match_id
f165c5f8-63dc-4cba-8fb3-1b0b79a365f0;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;7304cf9c-3944-46b4-b1b6-0e48b9949d0d;Trung Vũ vs Tùng Đạt;singles;c83f295b-fc69-4858-8359-6715fcdf2e2e;;af3b5d70-839f-434c-8bc8-422e6bc849d6;;;;10;11;b;1;2026-02-01 00:57:32.481223+00;2026-02-01 03:03:21.968101+00;true;
231136c8-4c8f-4af4-a2f5-adc7ea46d848;4b48fa58-fd5d-4711-bc6d-d52f75136a51;;Doubles Match 1;doubles;;;;;;;0;0;;1;2026-03-19 01:59:59.147393+00;2026-03-19 01:59:59.147393+00;true;
d9ee402e-cece-4e2e-9db1-5d4ced28f4df;a5f413e4-6f00-475d-90d2-596b5e299c70;;Singles Match 1;singles;;;;;;;0;0;;0;2026-01-30 15:57:22.964179+00;2026-01-30 15:57:22.964179+00;true;
83001f82-c81c-409e-ac4d-f8ad71d71e35;a5f413e4-6f00-475d-90d2-596b5e299c70;;Doubles Match 1;doubles;;;;;;;0;0;;1;2026-01-30 15:57:22.969259+00;2026-01-30 15:57:22.969259+00;true;
6ac26700-cf08-45c4-bcbe-500256693d25;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;7304cf9c-3944-46b4-b1b6-0e48b9949d0d;Tùng Đạt vs Đạt Hương;singles;af3b5d70-839f-434c-8bc8-422e6bc849d6;;af3151f8-7352-42ce-b52b-cb36b42d60a4;;;;11;10;a;5;2026-02-01 00:57:32.481223+00;2026-02-01 01:46:51.893154+00;true;
75e8cbdd-df2c-4e34-8b83-6b1f80cb9b0c;0a5c39e3-c6fc-490a-abcd-f2cf301171af;6b9dd493-c8c9-4c05-9e94-3a6c1bc9a1e4;Doubles Match 1;doubles;;;;;;;0;0;;1;2026-01-31 11:02:28.089361+00;2026-02-19 15:35:19.345496+00;true;
929a0583-79b6-441b-96fe-9a52746deb82;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;7304cf9c-3944-46b4-b1b6-0e48b9949d0d;Trung Vũ vs Hiệp Trí;singles;c83f295b-fc69-4858-8359-6715fcdf2e2e;;a5f1a0b0-1870-4e81-ae49-01c52a64c6ab;;;;6;11;b;0;2026-02-01 00:57:32.481223+00;2026-02-01 01:36:13.465739+00;true;
e67e0d15-7a41-43f6-89b3-4ebfccffff46;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;c7ff67fa-6d7e-497b-b453-14d4e28339e1;An Thuong vs Long Vi;singles;e46e3345-0c23-4547-9af5-01c287f34cfc;;86fdaad6-f81a-48ab-be06-387ce6415e8c;;;;5;11;b;3;2026-02-01 00:57:24.006765+00;2026-02-01 01:49:03.320278+00;true;
eb9b72db-e17e-49ea-a059-7cfeb360e20b;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;c7ff67fa-6d7e-497b-b453-14d4e28339e1;Huy Vinh vs An Thuong;singles;fac06ad4-021e-48c4-ad43-41ef3340f47e;;e46e3345-0c23-4547-9af5-01c287f34cfc;;;;11;6;a;0;2026-02-01 00:57:24.006765+00;2026-02-01 03:04:28.583577+00;true;
bae2d35a-06fa-41e3-9588-52902318762f;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;c7ff67fa-6d7e-497b-b453-14d4e28339e1;Huy Vinh vs Long Vi;singles;fac06ad4-021e-48c4-ad43-41ef3340f47e;;86fdaad6-f81a-48ab-be06-387ce6415e8c;;;;10;11;b;1;2026-02-01 00:57:24.006765+00;2026-02-01 01:59:59.687109+00;true;
0c174cc3-74f1-468a-8ed9-47c7e87f6cee;fb5e4cfd-77f8-46e2-a5f0-848c5d11029c;7304cf9c-3944-46b4-b1b6-0e48b9949d0d;Hiệp Trí vs Tùng Đạt;singles;a5f1a0b0-1870-4e81-ae49-01c52a64c6ab;;af3b5d70-839f-434c-8bc8-422e6bc849d6;;;;11;5;a;3;2026-02-01 00:57:32.481223+00;2026-02-01 02:07:39.64552+00;true;
e95e67d2-67f6-4d2c-aba7-ac74af786652;0d5e1f83-f227-4f1b-af0e-772052aae2cf;63d5c9b5-9832-47ce-a24d-f8a04e3a4883;Trận 1;doubles;;;;;;;0;0;;	-1;2026-01-31 02:25:37.031062+00;2026-01-31 03:33:29.22171+00;true;
f8309039-02e8-40ab-96ea-3d58bfe05944;0d5e1f83-f227-4f1b-af0e-772052aae2cf;771b9a0f-b964-4cfe-9ac5-4dca9ef9c0bc;Trận 2;doubles;;;;;;;0;0;;	-2;2026-01-31 02:25:37.981138+00;2026-01-31 03:33:37.904502+00;true;
17922d8a-6a25-419e-be9a-dc863cfc5ea9;0d5e1f83-f227-4f1b-af0e-772052aae2cf;80e7c7ef-3be5-44b3-a648-98b8b368017f;Trận 3;doubles;;;;;;;0;0;;	-3;2026-01-31 02:31:33.77486+00;2026-01-31 03:33:40.329296+00;true;
a12078d3-59a5-4a11-bed5-67c2ba1ade6f;0d5e1f83-f227-4f1b-af0e-772052aae2cf;858ed27e-adba-4a4b-980a-2fe56d9b8dbf;Trận 4;doubles;;;;;;;0;0;;	-4;2026-01-31 02:31:35.153918+00;2026-01-31 03:33:42.638169+00;true;
4ef51468-f171-42a2-8306-571e7d944150;5002f475-a45e-405e-8f5e-000ec27207a1;f82a2d49-acf3-4592-a6b6-b27ada8359e9;16/3 - Trận 2;doubles;1c4623d7-7bfc-4272-be74-f6f80a675e44;818e72f3-4bf4-4c95-b5f1-cf93111de57e;c337ec79-28db-41ec-a5c0-297352600614;19617a29-2958-4f18-85a6-aad1ad63b67f;;;15;11;a;	-42;2026-03-16 01:11:27.813089+00;2026-03-16 01:13:35.890228+00;true;
