id;match_id;template_id;order_index;game_type;display_name;scoring_type;lineup_team_a;lineup_team_b;score_a;score_b;winner_team_id;is_dreambreaker;status;created_at;updated_at
f4640735-fccc-46bc-ab98-40b802709d2b;d27d6736-3b17-4818-9a70-c3f9abdf3e47;;1;MD;MD2;sideout11;"[""0743a1c5-845e-48f7-b982-a6694438dd92"",""1b61f043-1930-43d0-add4-ddc5f8c3cd1d""]";"[""45bcf0d8-23af-4804-a123-27c12640e697"",""42a8a42f-4402-4b53-a255-db784c91a06c""]";11;2;;false;completed;2026-02-04 07:27:45.928164+00;2026-02-07 01:48:53.562636+00
ece6fbb5-b137-4ae2-a921-1d08969b0620;b42bc8e3-962a-4e9c-a267-6eeb4ca03af1;;2;MD;MD3;sideout11;"[""15ca369c-eced-42af-aff3-c34190837b1c"",""42a8a42f-4402-4b53-a255-db784c91a06c""]";"[""416a5908-fc45-4bb6-a444-6b492ec2fe7f"",""3199cff6-ff13-431b-b716-3750c80bde92""]";8;11;;false;completed;2026-02-04 07:27:45.928164+00;2026-02-07 04:29:37.563885+00
5db9954d-9e03-4616-b33e-12aafdc76259;b42bc8e3-962a-4e9c-a267-6eeb4ca03af1;;1;MD;MD2;sideout11;"[""45bcf0d8-23af-4804-a123-27c12640e697"",""e19bf19b-fb7c-4caf-9bb6-7e87b19bfa13""]";"[""940fed36-2fc5-459e-b289-3d4e769bb739"",""1dd2ce98-7065-48bb-81c0-f0c4d7af8bad""]";4;11;;false;completed;2026-02-04 07:27:45.928164+00;2026-02-07 03:45:45.66715+00
70f6d7a8-2883-44de-ac58-3b3ac1c8ea2d;c9b74102-42b9-4c7f-a743-d334c4db7417;;2;MD;MD3;sideout11;"[""ea9c120d-3329-413c-9c3f-89c9d90d6dfb"",""cfb182a7-22bc-4b33-be5d-827401f8e025""]";"[""0743a1c5-845e-48f7-b982-a6694438dd92"",""b0dc21a2-a4e2-4fd3-a305-f662107c603a""]";3;11;;false;completed;2026-02-04 07:27:45.928164+00;2026-02-07 03:54:50.1158+00
1eab3cb3-98ae-4329-9caf-4df63384ff71;d27d6736-3b17-4818-9a70-c3f9abdf3e47;;6;MS;Dreambreaker;rally21;"[""0743a1c5-845e-48f7-b982-a6694438dd92"",""b0dc21a2-a4e2-4fd3-a305-f662107c603a"",""613cf278-d6f5-475e-b809-69c4aa0a6f4b"",""1b61f043-1930-43d0-add4-ddc5f8c3cd1d""]";"[""45bcf0d8-23af-4804-a123-27c12640e697"",""e19bf19b-fb7c-4caf-9bb6-7e87b19bfa13"",""42a8a42f-4402-4b53-a255-db784c91a06c"",""cfd5bfd1-6122-4dc7-9ca8-2b716ff218f5""]";0;0;;true;pending;2026-02-04 07:27:45.928164+00;2026-02-07 01:14:39.951092+00
8c675ab7-50da-4b2f-a3c2-c3fe0495350e;9b260f2e-1627-4c5d-8dc3-d1bea9012db9;;2;MD;MD3;sideout11;"[""40368bab-25e3-4435-88f1-08ef458c248f"",""cfb182a7-22bc-4b33-be5d-827401f8e025""]";"[""1dd2ce98-7065-48bb-81c0-f0c4d7af8bad"",""940fed36-2fc5-459e-b289-3d4e769bb739""]";3;11;;false;completed;2026-02-04 07:27:45.928164+00;2026-02-07 02:01:30.508236+00
809ac64a-6aef-44e2-9726-61285fe09f5a;d27d6736-3b17-4818-9a70-c3f9abdf3e47;;2;MD;MD3;sideout11;"[""b0dc21a2-a4e2-4fd3-a305-f662107c603a"",""613cf278-d6f5-475e-b809-69c4aa0a6f4b""]";"[""e19bf19b-fb7c-4caf-9bb6-7e87b19bfa13"",""cfd5bfd1-6122-4dc7-9ca8-2b716ff218f5""]";5;11;;false;completed;2026-02-04 07:27:45.928164+00;2026-02-07 02:04:03.150857+00
78456f88-7a87-43db-b948-aac262fff14d;2016bb50-6d6a-4fc7-b4bf-6688c2b52cac;;3;MD;MD4;sideout11;"[""940fed36-2fc5-459e-b289-3d4e769bb739"",""3199cff6-ff13-431b-b716-3750c80bde92""]";"[""613cf278-d6f5-475e-b809-69c4aa0a6f4b"",""b0dc21a2-a4e2-4fd3-a305-f662107c603a""]";9;11;;false;completed;2026-02-04 07:27:45.928164+00;2026-02-07 03:17:13.384414+00
1627badb-5624-4e5b-b686-c9d6b3cc7050;b42bc8e3-962a-4e9c-a267-6eeb4ca03af1;;0;MD;MD1;sideout11;"[""cfd5bfd1-6122-4dc7-9ca8-2b716ff218f5"",""15ca369c-eced-42af-aff3-c34190837b1c""]";"[""416a5908-fc45-4bb6-a444-6b492ec2fe7f"",""940fed36-2fc5-459e-b289-3d4e769bb739""]";2;11;;false;completed;2026-02-04 07:27:45.928164+00;2026-02-07 03:45:28.257049+00
fb86727a-0f87-4998-bd24-6505627b4399;9b260f2e-1627-4c5d-8dc3-d1bea9012db9;;6;MS;Dreambreaker;rally21;"[""40368bab-25e3-4435-88f1-08ef458c248f"",""cfb182a7-22bc-4b33-be5d-827401f8e025"",""780cdafa-8ba8-4a76-80d8-006dfef4b5fb"",""ea9c120d-3329-413c-9c3f-89c9d90d6dfb""]";"[""940fed36-2fc5-459e-b289-3d4e769bb739"",""3199cff6-ff13-431b-b716-3750c80bde92"",""416a5908-fc45-4bb6-a444-6b492ec2fe7f"",""1dd2ce98-7065-48bb-81c0-f0c4d7af8bad""]";0;0;;true;pending;2026-02-04 07:27:45.928164+00;2026-02-07 01:17:17.5164+00
