id;target_type;target_id;count;last_updated_at
2f1934cb-476f-409f-bd1a-e1a8b150397f;livestream;1f5fcca2-c276-4ce7-bbca-fbfa471b77cc;530;2026-03-28 14:30:20.133457+00
d318d53d-d9f5-4c34-8d5d-77c19fdc6cea;livestream;d8481dc4-d29e-4dad-9f9a-6a19cfd05e05;4974;2026-04-10 02:17:57.676567+00
c8ceb75a-08d3-414d-abd8-3a70678eb2f1;video;91cf2783-441b-4d10-aa85-2227dd6dc783;52;2026-04-10 16:23:34.296086+00
7965d002-3a26-48e1-ac95-7a9a73f25093;livestream;0ee2b081-6ca1-40f0-bc81-df9b3b27a264;2;2026-03-27 04:37:17.390456+00
68b4e3c4-6bc7-490b-a8b4-05eb4a1a82d0;livestream;22459077-bf71-4f91-841c-799f0bdd1909;335;2026-03-19 16:31:54.610957+00
0347b904-f1fd-4243-93a7-86c88cc4500c;livestream;2cac01eb-217a-4634-95fa-4f915773bce2;455;2026-03-31 02:35:43.114819+00
a648847b-58fe-4c35-ae16-86b743a1e96e;video;23827192-f861-47e6-b917-cdc7ac51ca65;23;2026-04-02 15:44:50.365109+00
88820b9b-3960-45e4-ba07-af326851f7b0;livestream;afc2506b-e81f-417d-9425-e3d46694d1d9;287;2026-04-04 06:19:40.229076+00
d7eea96f-2431-4d11-90f7-59a65f36011e;livestream;1a2ac1e2-3be3-40a2-a2bd-2e0054717bf6;1127;2026-03-29 17:21:07.222096+00
6ec46aa1-123e-4890-a46d-72aa7b7a7b1b;video;b15bda90-7a98-4d85-b5e8-4accc72dc067;8;2026-03-16 08:06:21.113764+00
1c6d1a99-0a00-44e9-a84a-b1fadabc65b0;video;c1eebc99-9c0b-4ef8-bb6d-6bb9bd380a33;2;2026-03-16 08:06:21.113764+00
4219635d-0cf2-4485-a734-b7247e82f9e0;video;c2eebc99-9c0b-4ef8-bb6d-6bb9bd380a34;4;2026-03-16 08:06:21.113764+00
315da4b9-2cff-4303-a7a5-0acdb244d788;video;c3eebc99-9c0b-4ef8-bb6d-6bb9bd380a35;1;2026-03-16 08:06:21.113764+00
19f3fa64-a821-4f8a-8879-ccd4f34d19dd;video;c4eebc99-9c0b-4ef8-bb6d-6bb9bd380a36;2;2026-03-16 08:06:21.113764+00
aeceb900-c9f2-4202-8aee-91051979f3a6;video;d409e0a6-7ef1-4b0c-8952-5ff9e616f8e1;8;2026-03-16 08:06:21.113764+00
dd6a2282-31b0-4077-b4bb-dc560be472e8;livestream;06a19788-f9d0-4d49-b798-aba9aa6c61e1;85;2026-03-16 08:06:21.113764+00
d793059a-c082-4c85-b1d3-75ba451813a7;livestream;0a961d21-144e-4896-af1e-4a09c9c06cf0;1;2026-03-16 08:06:21.113764+00
214d3b62-f85a-4bfc-8021-940460b5db30;livestream;2af5f517-16f7-44f4-8f18-ec3d93a3ef00;2;2026-03-16 08:06:21.113764+00
ac9b02d9-f8e5-4c38-81ee-686c12e05762;livestream;2c8aa289-e027-42c1-9995-8fc1fecc6395;29;2026-03-16 08:06:21.113764+00
9d11dc97-326f-4053-b238-2702ac80f44e;livestream;2e0166c3-b295-4b19-b3c1-3095b1d878e6;32;2026-03-16 08:06:21.113764+00
97fbfc2a-dcf2-468d-bd1b-a9f04bad3bb5;livestream;44e75b8e-afe0-4a00-a85a-ecea8ee87af5;131;2026-03-16 08:06:21.113764+00
b44995ca-8f80-4c7f-8112-ee8f84cc36b9;livestream;4b878939-5a95-476c-92ee-3e9607c7b68b;2;2026-03-16 08:06:21.113764+00
dc790f47-03b1-4f0b-9e62-0391efdd2e28;livestream;4fd97c7e-bc1e-4c2c-a8da-606b2531e1c0;2;2026-03-16 08:06:21.113764+00
1f3b2b28-add8-45da-aae2-173cedb9af9f;livestream;52a854e7-eeca-42e5-b4b2-39e200420ee8;1;2026-03-16 08:06:21.113764+00
691b5275-6cec-4f17-8aa6-dc050ce1fb26;livestream;5cfbe4c0-7664-4a24-aa82-5a9baa88a053;1;2026-03-16 08:06:21.113764+00
